Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,Status,ROI,Points per Minute,PpM ROI
1,Balogun,Arsenal,4,4.5,0,0,0,0,0,2.1,a,0.0,,
2,Cédric,Arsenal,2,4.0,10,223,0,0,0,0.4,a,2.5,0.04484304932735426,0.11210762331838564
3,M.Elneny,Arsenal,3,4.5,6,111,0,0,0,0.2,a,1.3333333333333333,0.05405405405405406,0.07207207207207207
4,Fábio Vieira,Arsenal,3,5.5,40,500,1,2,2,0.1,a,7.2727272727272725,0.08,0.5818181818181818
5,Gabriel,Arsenal,2,5.0,146,3409,3,0,14,16.6,a,29.2,0.04282780874156644,1.25057201525374
6,Havertz,Arsenal,3,7.5,102,2565,7,1,9,6.5,a,13.6,0.03976608187134503,0.5408187134502924
7,Holding,Arsenal,2,4.5,21,562,1,0,0,0.2,a,4.666666666666667,0.037366548042704624,0.17437722419928825
8,G.Jesus,Arsenal,4,8.0,125,2064,11,7,9,31.4,a,15.625,0.060562015503875966,0.946281492248062
9,Jorginho,Arsenal,3,5.5,79,2127,2,2,9,0.3,a,14.363636363636363,0.03714151386929948,0.5334871992135743
10,Kiwior,Arsenal,2,4.5,26,425,1,0,2,0.2,a,5.777777777777778,0.0611764705882353,0.3534640522875817
11,Marquinhos,Arsenal,3,4.5,1,1,0,0,0,0.1,a,0.2222222222222222,1.0,0.2222222222222222
12,Martinelli,Arsenal,3,8.0,198,2789,15,9,14,14.0,a,24.75,0.07099318752240946,1.7570813911796341
13,Nketiah,Arsenal,4,5.5,63,1071,4,2,2,0.8,a,11.454545454545455,0.058823529411764705,0.6737967914438503
14,Ødegaard,Arsenal,3,8.5,212,3132,15,8,13,20.2,a,24.941176470588236,0.06768837803320563,1.6882277815340698
15,Thomas,Arsenal,3,5.0,86,2480,3,0,11,0.2,a,17.2,0.03467741935483871,0.5964516129032258
16,Pepe,Arsenal,3,5.0,0,0,0,0,0,0.1,a,0.0,,
17,Ramsdale,Arsenal,1,5.0,143,3420,0,0,14,28.2,a,28.6,0.041812865497076024,1.1958479532163744
18,Rúnarsson,Arsenal,1,4.0,0,0,0,0,0,0.3,a,0.0,,
19,Saka,Arsenal,3,8.5,202,3183,14,12,12,49.7,a,23.764705882352942,0.06346214263273642,1.5081591543309125
20,Saliba,Arsenal,2,5.0,117,2415,2,1,12,14.8,a,23.4,0.0484472049689441,1.1336645962732919
