source,author,title,description,url,urlToImage,publishedAt,content,source_name
"{'id': None, 'name': 'Just Arsenal News'}",Admin Martin,Arsenal ponders whether to allow Aaron Ramsdale to leave on loan,"Arsenal is considering allowing Aaron Ramsdale to leave on loan after Nottingham Forest showed interest in such an agreement. Ramsdale wants to play, but after David Raya won the most clean sheets in the Premier League last season, it is hard to see him getti…",https://www.justarsenal.com/arsenal-ponders-whether-to-allow-aaron-ramsdale-to-leave-on-loan/372464,https://icdn.justarsenal.com/wp-content/uploads/2023/09/fbl-eng-pr-everton-arsenal-3.jpg,2024-07-31T09:45:00Z,"Arsenal is considering allowing Aaron Ramsdale to leave on loan after Nottingham Forest showed interest in such an agreement.
Ramsdale wants to play, but after David Raya won the most clean sheets i… [+1237 chars]",Just Arsenal News
"{'id': 'espn', 'name': 'ESPN'}",Reuters,City cautious with Haaland's muscle 'discomfort',"Manchester City forward Erling Haaland has been experiencing muscle discomfort, manager Pep Guardiola said",https://www.espn.com/soccer/story/_/id/40687888/man-city-cautious-erling-haaland-muscle-discomfort,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2024%2F0731%2Fr1366021_1296x729_16%2D9.jpg,2024-07-31T09:37:27Z,"Jul 31, 2024, 05:19 AM ET
Manchester City forward Erling Haaland has been experiencing muscle discomfort, manager Pep Guardiola said, after the Norwegian was substituted at half-time for the second … [+1721 chars]",ESPN
"{'id': None, 'name': 'SB Nation'}",chapulana,Newcastle's Nick Pope breaks silence on Euro 2024 snub,The goalie revealed he received no explanation for his international omission.,https://cominghomenewcastle.sbnation.com/2024/7/31/24208529/newcastles-nick-pope-breaks-silence-on-euro-2024-snub,https://cdn.vox-cdn.com/thumbor/l1Ph8X-tZc2Hqq_Zi7caxetfliU=/0x239:3196x1912/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25550125/2163913397.jpg,2024-07-31T09:00:00Z,"Photo by Harriet Massey/Newcastle United via Getty Images

 

 The goalie revealed he received no explanation for his international omission. Newcastle United starting goalkeeper and former England … [+3270 chars]",SB Nation
"{'id': None, 'name': 'Sky Sports'}",Lyall Thomas,"The big striker search: Latest on David, Osimhen and Gyokeres","Strikers are expected to be in high-demand this summer, with Arsenal, Aston Villa, Chelsea and Tottenham among the Premier League clubs understood to be on the lookout for a new forward.",https://www.skysports.com/football/news/11095/13187892/the-big-striker-search-latest-on-jonathan-david-victor-osimhen-viktor-gyokeres-and-alexander-isak,https://e0.365dm.com/24/07/1600x900/skysports-football-transfers_6643714.jpg?20240731113619,2024-07-31T08:42:00Z,"Strikers are expected to be in high-demand this summer, with Arsenal, Aston Villa, Chelsea and Tottenham among the Premier League clubs understood to be on the lookout for a new forward.
In fact, Sk… [+14024 chars]",Sky Sports
"{'id': 'four-four-two', 'name': 'FourFourTwo'}",Joe Mewis,Victor Osimhen's agent lashes out and demands 'respect' after Chelsea transfer links,Napoli striker Victor Osimhen's agent has taken to social media following reports linking him with Chelsea,https://www.fourfourtwo.com/news/victor-osimhens-agent-lashes-out-and-demands-respect-after-chelsea-transfer-links,https://cdn.mos.cms.futurecdn.net/g3FYXLjDAuv3uj8GGGY6gC-1200-80.jpg,2024-07-31T08:17:39Z,"The agent of Napoli striker Victor Osimhen has taken to social media to hit out at the latest transfer rumour involving his client and demand ‘respect’ from the media. 
The future of the Nigerian st… [+2912 chars]",FourFourTwo
"{'id': None, 'name': 'The Punch'}",Abiodun Adewale,Osimhen’s agent denies Chelsea loan,"Victor Osimhen’s agent Roberto Calenda has rubbished reports about the Nigeria striker joining Chelsea on loan with an option to buy amid negotiations with English Premier League giants, PUNCH Sports Extra reports. Calenda broke his silence on the protracted …",https://punchng.com/osimhens-agent-denies-chelsea-loan/,https://cdn.punchng.com/wp-content/uploads/2024/03/21132227/Victor-Osimhen-22.jpeg,2024-07-31T00:48:47Z,"Victor Osimhens agent Roberto Calenda has rubbished reports about the Nigeria striker joining Chelsea on loan with an option to buy amid negotiations with English Premier League giants, PUNCH Sports … [+1924 chars]",The Punch
"{'id': None, 'name': 'NBCSports.com'}",NBC Sports,10 All-Americans Named to Outland Trophy Watch List,Tuesday morning the preseason candidates for the Outland Trophy were announced.,https://www.nbcsports.com/college-football/all-american-bowl/news/10-all-americans-named-to-outland-trophy-watch-list,https://s.yimg.com/ny/api/res/1.2/pwzp_DatJjp5EvUg34fWdQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/nbcsports.com/374bd1e950f6bf4cdc35a4f32fee6c4d,2024-07-30T19:08:22Z,"Tyleik Williams (Manassas, Virginia/ Unity Reed H.S.), the Ohio State University commit, was officially honored today as a 2021 All-American.
Tuesday morning the preseason candidates for the Outland… [+1639 chars]",NBCSports.com
"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Andy Hunter,Jake O’Brien credits Séamus Coleman and Sean Dyche after sealing €20m Everton move,23-year-old Republic of Ireland defender hails Coleman ‘the best captain’ he has had,https://www.irishtimes.com/sport/soccer/2024/07/30/jake-obrien-credits-seamus-coleman-and-sean-dyche-after-sealing-20m-everton-move/,https://www.irishtimes.com/resizer/v2/GHV76MIZFNFRJEKYLBFRSWZZFY.jpg?smart=true&auth=79253d28b1eaaabd08d2b29c9ed666cd7334cc5cb713ef8bb586b2e0fe5ab51f&width=1200&height=630,2024-07-30T18:44:21Z,Jake OBrien has credited his international captain Séamus Coleman and Sean Dyches development of young defenders as key reasons for rejecting several Premier League clubs in favour of a move to Evert… [+2317 chars],The Irish Times
"{'id': 'four-four-two', 'name': 'FourFourTwo'}",Joe Mewis,What Enzo Fernandez did on his return to Chelsea training following racism storm,Fernandez posted a video of a chant containing racist and transphobic lyrics while Argentina celebrated their Copa America win,https://www.fourfourtwo.com/news/what-enzo-fernandez-did-on-his-return-to-chelsea-training-following-racism-storm,https://cdn.mos.cms.futurecdn.net/NcqbNCfoX36qeoiiDpMRyL-1200-80.jpg,2024-07-30T18:00:33Z,Enzo Fernandez has rejoined his Chelsea teammates on the club’s tour of the USA and reportedly issued an immediate apology following his part in the race controversy that followed Argentina’s Copa Am… [+2284 chars],FourFourTwo
"{'id': None, 'name': 'Forbes'}","Zak Garner-Purkis, Contributor, 
 Zak Garner-Purkis, Contributor
 https://www.forbes.com/sites/zakgarnerpurkis/",Chelsea Set To Lose Most Under-Appreciated Player In England,England has a habit of demonizing individual players as the ‘cause’ of a bad performance. Those who lack the reputation of bigger stars are often the fall guys,https://www.forbes.com/sites/zakgarnerpurkis/2024/07/30/chelsea-set-to-lose-most-under-appreciated-player-in-england/,https://imageio.forbes.com/specials-images/imageserve/66a8c0fa2595a24b208277e6/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-07-30T17:30:03Z,"LONDON, ENGLAND - MARCH 17: Chelsea players enter a huddle prior to the Emirates FA Cup Quarter ... [+] Final between Chelsea FC and Leicester City FC at Stamford Bridge on March 17, 2024 in London, … [+5300 chars]",Forbes
