Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,Status,ROI,Points per Minute,PpM ROI
1,Fábio Vieira,Arsenal,3,5.5,24,290,1,3,1,0.1,a,4.363636363636363,0.08275862068965517,0.361128526645768
2,G.Jesus,Arsenal,4,7.0,85,1470,4,7,11,1.5,a,12.142857142857142,0.05782312925170068,0.7021379980563653
3,Gabriel,Arsenal,2,6.0,149,3042,3,1,16,11.9,a,24.833333333333332,0.048980933596318214,1.2163598509752356
4,Havertz,Arsenal,4,8.0,180,2627,13,10,16,14.2,a,22.5,0.06851922344880092,1.5416825275980206
5,Hein,Arsenal,1,4.0,0,0,0,0,0,0.3,a,0.0,0.0,0.0
6,J.Timber,Arsenal,2,5.5,0,70,0,0,0,1.9,a,0.0,0.0,0.0
7,Jorginho,Arsenal,3,5.0,44,913,0,2,4,0.3,a,8.8,0.04819277108433735,0.4240963855421687
8,Kiwior,Arsenal,2,5.0,67,942,1,3,6,0.3,a,13.4,0.07112526539278131,0.9530785562632696
9,Martinelli,Arsenal,3,7.0,118,2010,6,5,10,4.2,a,16.857142857142858,0.05870646766169154,0.9896233120113717
10,Nelson,Arsenal,3,5.0,16,256,0,0,1,0.1,a,3.2,0.0625,0.2
11,Nketiah,Arsenal,4,6.0,71,1065,5,4,6,0.4,a,11.833333333333334,0.06666666666666667,0.788888888888889
12,Nwaneri,Arsenal,3,4.5,1,13,0,0,0,0.2,a,0.2222222222222222,0.07692307692307693,0.017094017094017096
13,Ødegaard,Arsenal,3,8.5,186,3098,8,11,19,17.0,a,21.88235294117647,0.06003873466752744,1.3137887821364829
14,Ramsdale,Arsenal,1,4.5,20,540,0,0,2,0.9,a,4.444444444444445,0.037037037037037035,0.1646090534979424
15,Raya,Arsenal,1,5.5,135,2880,0,0,16,22.8,a,24.545454545454547,0.046875,1.1505681818181819
16,Rice,Arsenal,3,6.5,165,3225,7,9,17,5.6,a,25.384615384615383,0.05116279069767442,1.2987477638640428
17,Saka,Arsenal,3,10.0,226,2922,16,12,16,26.5,a,22.6,0.07734428473648186,1.74798083504449
18,Saliba,Arsenal,2,6.0,164,3420,2,1,18,41.0,a,27.333333333333332,0.047953216374269005,1.3107212475633527
19,Smith Rowe,Arsenal,3,5.5,25,343,0,2,3,1.6,a,4.545454545454546,0.0728862973760933,0.331301351709515
20,Thomas,Arsenal,3,5.0,24,785,0,0,5,0.1,a,4.8,0.030573248407643312,0.1467515923566879
21,Tierney,Arsenal,2,4.5,0,0,0,0,0,0.2,a,0.0,0.0,0.0
22,Tomiyasu,Arsenal,2,5.0,70,1140,2,1,6,0.4,a,14.0,0.06140350877192982,0.8596491228070176
23,Trossard,Arsenal,3,7.0,138,1633,12,2,12,3.1,a,19.714285714285715,0.08450704225352113,1.6659959758551308
24,White,Arsenal,2,6.5,182,2987,4,5,18,12.0,a,28.0,0.06093069969869434,1.7060595915634416
25,Zinchenko,Arsenal,2,5.0,104,1717,1,2,9,1.6,a,20.8,0.060570762958648806,1.2598718695398952
578,Calafiori,Arsenal,2,6.0,0,0,0,0,0,1.3,a,0.0,0.0,0.0
26,Alex Moreno,Aston Villa,2,4.5,49,1024,2,0,3,0.8,a,10.88888888888889,0.0478515625,0.5210503472222222
27,Archer,Aston Villa,4,5.0,82,1829,4,3,2,1.1,a,16.4,0.0448332422088573,0.7352651722252597
28,Bailey,Aston Villa,3,6.5,148,2063,10,11,5,4.6,a,22.76923076923077,0.07174018419777024,1.6334688094261534
29,Barkley,Aston Villa,3,5.5,101,2616,5,5,2,1.1,a,18.363636363636363,0.0386085626911315,0.7089936057825966
30,Barrenechea,Aston Villa,3,5.0,0,0,0,0,0,0.1,a,0.0,0.0,0.0
31,Buendia,Aston Villa,3,5.5,0,0,0,0,0,0.2,a,0.0,0.0,0.0
32,Cash,Aston Villa,2,4.5,64,2138,2,2,3,2.9,a,14.222222222222221,0.029934518241347054,0.4257353705436025
33,Dendoncker,Aston Villa,3,4.5,20,118,1,1,0,0.9,a,4.444444444444445,0.1694915254237288,0.7532956685499058
35,Diego Carlos,Aston Villa,2,4.5,55,1809,0,0,6,0.6,a,12.222222222222221,0.030403537866224434,0.37159879614274305
36,Digne,Aston Villa,2,4.5,85,2405,1,4,6,1.9,a,18.88888888888889,0.035343035343035345,0.6675906675906677
37,Dobbin,Aston Villa,3,5.0,18,226,1,0,1,0.0,a,3.6,0.07964601769911504,0.2867256637168142
38,Duran,Aston Villa,4,6.0,50,461,5,1,0,0.4,a,8.333333333333334,0.10845986984815618,0.903832248734635
39,Gauci,Aston Villa,1,4.0,0,0,0,0,0,0.3,a,0.0,0.0,0.0
40,Hause,Aston Villa,2,4.0,0,0,0,0,0,0.5,a,0.0,0.0,0.0
41,Iling Jr,Aston Villa,3,5.5,0,0,0,0,0,0.2,a,0.0,0.0,0.0
43,Kesler-Hayden,Aston Villa,2,4.0,3,5,0,0,0,0.2,a,0.75,0.6,0.44999999999999996
44,Konsa,Aston Villa,2,4.5,91,3069,1,1,7,17.8,a,20.22222222222222,0.029651352231997392,0.5996162340248361
45,Maatsen,Aston Villa,2,5.0,11,200,0,0,0,5.2,a,2.2,0.055,0.12100000000000001
47,Martinez,Aston Villa,1,5.0,115,3015,0,0,8,13.2,a,23.0,0.03814262023217247,0.8772802653399668
48,McGinn,Aston Villa,3,5.5,119,3000,6,5,7,1.8,a,21.636363636363637,0.03966666666666667,0.8582424242424244
49,Mings,Aston Villa,2,4.5,0,30,0,0,0,0.6,a,0.0,0.0,0.0
50,Nedeljkovic,Aston Villa,2,4.0,0,0,0,0,0,0.2,a,0.0,0.0,0.0
51,Olsen,Aston Villa,1,4.5,17,405,0,0,0,0.3,a,3.7777777777777777,0.04197530864197531,0.15857338820301783
52,Pau,Aston Villa,2,4.5,85,2462,2,0,6,1.6,a,18.88888888888889,0.03452477660438668,0.6521346691939707
53,Ramsey,Aston Villa,3,5.5,29,848,1,1,0,0.3,a,5.2727272727272725,0.03419811320754717,0.1803173241852487
54,Rogers,Aston Villa,3,5.0,35,636,3,1,2,6.4,a,7.0,0.055031446540880505,0.38522012578616355
56,Sousa,Aston Villa,2,4.0,0,0,0,0,0,0.4,a,0.0,0.0,0.0
57,Tielemans,Aston Villa,3,5.5,77,1613,2,6,4,0.5,a,14.0,0.04773713577185369,0.6683199008059517
58,Watkins,Aston Villa,4,9.0,228,3222,19,18,7,54.3,a,25.333333333333332,0.07076350093109869,1.7926753569211669
233,Onana,Aston Villa,3,5.0,66,2085,2,0,5,0.9,a,13.2,0.031654676258992806,0.417841726618705
569,Jaden,Aston Villa,3,5.5,0,0,0,0,0,0.1,a,0.0,0.0,0.0
59,Aarons,Bournemouth,2,4.5,28,1233,0,1,2,0.3,a,6.222222222222222,0.0227088402270884,0.1412994503018834
61,Anthony,Bournemouth,3,4.5,3,151,0,0,0,0.4,a,0.6666666666666666,0.019867549668874173,0.013245033112582781
62,Brooks,Bournemouth,3,5.0,23,271,1,1,0,0.1,a,4.6,0.08487084870848709,0.3904059040590406
63,Christie,Bournemouth,3,5.0,90,2908,0,5,8,0.2,a,18.0,0.030949105914718018,0.5570839064649243
64,Cook,Bournemouth,3,5.0,77,2787,0,3,8,0.1,a,15.4,0.027628274129888768,0.425475421600287
65,Enes Ünal,Bournemouth,4,5.5,40,317,2,4,1,0.1,a,7.2727272727272725,0.12618296529968454,0.9176942930886147
66,Faivre,Bournemouth,3,5.0,4,37,0,0,0,0.0,a,0.8,0.10810810810810811,0.08648648648648649
67,H.Traorè,Bournemouth,3,4.5,3,44,0,0,0,0.2,a,0.6666666666666666,0.06818181818181818,0.04545454545454545
68,Hill,Bournemouth,2,4.0,5,74,0,0,0,0.4,a,1.25,0.06756756756756757,0.08445945945945946
69,Jebbison,Bournemouth,4,4.5,1,20,0,0,0,0.7,a,0.2222222222222222,0.05,0.011111111111111112
70,Kerkez,Bournemouth,2,4.5,59,1966,0,2,6,0.6,a,13.11111111111111,0.030010172939979655,0.39346671187973326
71,Kluivert,Bournemouth,3,5.5,100,1910,7,1,11,0.5,a,18.181818181818183,0.05235602094240838,0.9519276534983342
72,Mepham,Bournemouth,2,4.5,16,613,0,1,1,0.1,a,3.5555555555555554,0.026101141924959218,0.09280406017763278
73,Neto,Bournemouth,1,4.5,110,2880,0,0,7,2.8,a,24.444444444444443,0.03819444444444445,0.933641975308642
74,O.Dango,Bournemouth,3,5.0,56,1214,1,2,5,0.0,a,11.2,0.04612850082372323,0.5166392092257002
75,Paulsen,Bournemouth,1,4.0,0,0,0,0,0,0.5,a,0.0,0.0,0.0
76,Philip,Bournemouth,3,5.0,60,1385,2,3,2,0.1,a,12.0,0.04332129963898917,0.51985559566787
77,Scott,Bournemouth,3,5.0,41,1003,1,1,3,0.1,a,8.2,0.040877367896311065,0.3351944167497507
78,Semenyo,Bournemouth,3,5.5,107,2099,8,4,8,1.2,a,19.454545454545453,0.050976655550262026,0.9917276625232794
79,Senesi,Bournemouth,2,5.0,102,2239,4,5,6,1.2,a,20.4,0.045556051808843236,0.929343456900402
80,Sinisterra,Bournemouth,3,5.0,43,685,2,2,1,0.2,a,8.6,0.06277372262773723,0.5398540145985401
81,Smith,Bournemouth,2,4.5,80,2148,0,3,8,0.2,a,17.77777777777778,0.037243947858473,0.6621146285950756
82,Solanke,Bournemouth,4,7.5,175,3325,19,3,10,10.4,a,23.333333333333332,0.05263157894736842,1.2280701754385963
83,Tavernier,Bournemouth,3,5.5,89,2118,3,4,8,0.3,a,16.181818181818183,0.042020774315391876,0.6799725298308867
84,Travers,Bournemouth,1,4.5,19,360,0,0,2,0.3,a,4.222222222222222,0.05277777777777778,0.2228395061728395
85,Zabarnyi,Bournemouth,2,4.5,84,3330,1,0,8,0.5,a,18.666666666666668,0.025225225225225224,0.4708708708708709
580,Huijsen,Bournemouth,2,4.5,0,0,0,0,0,0.0,a,0.0,0.0,0.0
86,Ajer,Brentford,2,4.5,68,1826,2,1,5,0.4,a,15.11111111111111,0.03723986856516977,0.5627357916514543
87,Brierley,Brentford,3,4.5,0,0,0,0,0,0.1,a,0.0,0.0,0.0
88,Collins,Brentford,2,4.5,84,2649,1,1,7,0.4,a,18.666666666666668,0.031710079275198186,0.5919214798036995
89,Damsgaard,Brentford,3,5.0,45,829,0,4,5,0.1,a,9.0,0.054282267792521106,0.48854041013268995
90,Dasilva,Brentford,3,5.0,3,22,0,0,0,0.1,a,0.6,0.13636363636363635,0.0818181818181818
