Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,ROI,Points per Minute,PpM ROI
5,Gabriel,Arsenal,2,5.0,146,3409,3,0,14,15.9,29.2,0.04282780874156644,1.25057201525374
6,Havertz,Arsenal,3,7.5,102,2565,7,1,9,6.7,13.6,0.03976608187134503,0.5408187134502924
7,Holding,Arsenal,2,4.5,21,562,1,0,0,0.2,4.666666666666667,0.037366548042704624,0.17437722419928825
8,G.Jesus,Arsenal,4,8.0,125,2064,11,7,9,30.8,15.625,0.060562015503875966,0.946281492248062
9,Jorginho,Arsenal,3,5.5,79,2127,2,2,9,0.3,14.363636363636363,0.03714151386929948,0.5334871992135743
12,Martinelli,Arsenal,3,8.0,198,2789,15,9,14,14.1,24.75,0.07099318752240946,1.7570813911796341
13,Nketiah,Arsenal,4,5.5,63,1071,4,2,2,0.8,11.454545454545455,0.058823529411764705,0.6737967914438503
14,Ødegaard,Arsenal,3,8.5,212,3132,15,8,13,20.0,24.941176470588236,0.06768837803320563,1.6882277815340698
15,Thomas,Arsenal,3,5.0,86,2480,3,0,11,0.2,17.2,0.03467741935483871,0.5964516129032258
17,Ramsdale,Arsenal,1,5.0,143,3420,0,0,14,28.1,28.6,0.041812865497076024,1.1958479532163744
19,Saka,Arsenal,3,8.5,202,3183,14,12,12,49.2,23.764705882352942,0.06346214263273642,1.5081591543309125
20,Saliba,Arsenal,2,5.0,117,2415,2,1,12,14.6,23.4,0.0484472049689441,1.1336645962732919
21,Sambi,Arsenal,3,5.0,23,728,0,0,2,0.0,4.6,0.03159340659340659,0.1453296703296703
24,Tierney,Arsenal,2,4.5,37,774,0,1,1,0.3,8.222222222222221,0.04780361757105943,0.3930519666953775
25,Tomiyasu,Arsenal,2,4.5,32,651,0,1,2,0.2,7.111111111111111,0.04915514592933948,0.349547704386414
26,Trossard,Arsenal,3,7.0,154,2237,8,13,8,2.7,22.0,0.06884219937416182,1.51452838623156
29,White,Arsenal,2,5.5,156,3054,2,5,15,10.2,28.363636363636363,0.05108055009823183,1.4488301482407573
30,Xhaka,Arsenal,3,6.0,153,2992,7,8,13,0.7,25.5,0.05113636363636364,1.3039772727272727
31,Zinchenko,Arsenal,2,5.0,99,2122,1,2,10,14.5,19.8,0.04665409990574929,0.923751178133836
32,Alex Moreno,Aston Villa,2,5.0,72,1325,0,3,7,0.6,14.4,0.05433962264150943,0.7824905660377358
