source,author,title,description,url,urlToImage,publishedAt,content,source_name
"{'id': None, 'name': 'Knoxville News Sentinel'}",Knox News | The Knoxville News-Sentinel,Why five SEC teams could make College Football Playoff. Just finish 10-2 | Adams,"Missouri and Ole Miss have the toughest schedules of the playoff contenders. Oklahoma has the hardest, and Alabama has the next most difficult.",https://www.knoxnews.com/story/sports/columnists/university-of-tennessee/john-adams/2024/08/01/sec-college-football-playoff-finish-10-2-tennessee-georgia-alabama/74493030007/,https://s.yimg.com/ny/api/res/1.2/zghMcfyvLRg.mjeQvpylaQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/knox-news-the-knoxville-news-sentinel/0d572dba7c3a0dc92f808a78ec5acb5d,2024-08-01T09:02:14Z,"The SEC has never been accused of rushing into conference competition in football. This season wont be any different.
The first big Saturday of college football will be Aug. 31. But the SEC wont beg… [+3683 chars]",Knoxville News Sentinel
"{'id': None, 'name': 'Sky Sports'}",Adam Bate,How Oxford won promotion and what's next under Buckingham,"""To stand on the Wembley steps with the trophy, overlooking 35,000 of our fans, that is something that will stay with me for life,"" Des Buckingham tells Sky Sports. The boy from Oxford had taken his team into the Championship.",https://www.skysports.com/football/news/18939/13188052/des-buckingham-exclusive-interview-oxford-united-boss-on-promotion-and-why-he-is-excited-for-what-comes-next,https://e0.365dm.com/24/06/1600x900/skysports-championship-football_6591474.jpg?20240626130350,2024-08-01T09:00:00Z,"""To stand on the Wembley steps with the trophy, overlooking 35,000 of our fans, that is something that will stay with me for life,"" Des Buckingham tells Sky Sports. The boy from Oxford had taken his … [+8249 chars]",Sky Sports
"{'id': None, 'name': 'NDTV News'}",Agence France-Presse,Manchester City Fined 2 Million Pounds For Delaying Kick-Offs,The longest delay was two minutes and 46 seconds for the start of the final game of the season against West Ham.,https://sports.ndtv.com/football/manchester-city-fined-2-million-pounds-for-delaying-kick-offs-6238201,"https://c.ndtvimg.com/2024-04/ot2u18s8_manchester-city-afp_625x300_21_April_24.jpg?im=FeatureCrop,algorithm=dnn,width=1200,height=738",2024-08-01T07:59:06Z,"Manchester City have been fined £2.09 million ($2.68 million, 2.48 million euros) by the Premier League for 22 instances of delaying the kick-off or restart of matches, it was announced Wednesday. Th… [+1635 chars]",NDTV News
"{'id': None, 'name': 'SB Nation'}",Fitzie,"The Hoddle of Coffee: Tottenham Hotspur news and links for Thursday, August 1",A look at the month ahead,https://cartilagefreecaptain.sbnation.com/2024/8/1/24208276/the-hoddle-of-coffee-tottenham-hotspur-news-and-links-for-thursday-august-1,https://cdn.vox-cdn.com/thumbor/vj3W7DyaJHb78kOyD0kFWP-Bn3g=/0x0:3088x1617/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25549671/2154418087.jpg,2024-08-01T06:30:00Z,"Photo by Visionhaus/Getty Images

 

 A look at the month ahead good morning ! 
Finally, finally - Tottenham Hotspur football is BACK!
After an eternity away, Spurs will be playing meaningful matche… [+1172 chars]",SB Nation
"{'id': None, 'name': 'Sonyalpharumors.com'}",SonyAlpha Admin,"Press text: Sony, NFL launch new technology partnership","More info at electronics.sony.com/sonyxnfl Press text: Sony, NFL launch new technology partnership The National Football League and Sony announced today a partnership naming Sony as an official technology partner of the NFL, as well as the new official headph…",https://www.sonyalpharumors.com/press-text-sony-nfl-launch-new-technology-partnership/,,2024-08-01T05:58:41Z,"More info at electronics.sony.com/sonyxnfl
Press text:
Sony, NFL launch new technology partnership
The National Football League and Sony announced today a partnership naming Sony as an official te… [+5577 chars]",Sonyalpharumors.com
"{'id': None, 'name': 'Arsenal.com'}",,Ticket info: Arsenal v Leicester City,All the information you need regarding tickets for our Premier League match against Leicester City,https://www.arsenal.com/tickets/arsenal/2024-Sep-28/leicester-city,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/Emirates%20Stadiujm.jpg?h=510a89ce&auto=webp&itok=Y2v0N7J_,2024-08-01T05:18:28Z,"Below is ticketing information for our Premier League fixture against Leicester City at the Emirates Stadium on Saturday, September 28 at 15.00pm.
This will be a Category C fixture (pricing and info… [+4495 chars]",Arsenal.com
"{'id': None, 'name': 'SB Nation'}",LJSKnutsen,When football was better...,Nobody can say that following Sunderland AFC is or was boring!,https://rokerreport.sbnation.com/2024/8/1/24210289/when-football-was-better,https://cdn.vox-cdn.com/thumbor/-OKMbhGcmAwT71xNgV8O1Q9m_yc=/0x0:1200x628/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25554404/650962982.0.jpg,2024-08-01T05:00:00Z,"Nobody can say that following Sunderland AFC is or was boring! Do you ever get the impression when watching football, especially games in the English Premier League, that you are a consumer of a poli… [+4901 chars]",SB Nation
"{'id': None, 'name': 'Sky Sports'}",Anton Toloui,'Replacing Salah would be no easy feat for Liverpool',"If Liverpool do eventually move on from Mo Salah, Wednesday's win over Arsenal is a reminder success will not be easy without him, writes Anton Toloui.",https://www.skysports.com/football/news/11669/13188470/liverpool-replacing-mo-salah-would-be-no-easy-feat-for-the-reds,https://e0.365dm.com/24/07/1600x900/skysports-mo-salah-liverpool_6634000.jpg?20240720185333,2024-08-01T04:20:00Z,"If Liverpool do eventually move on from Mo Salah, Wednesday's win over Arsenal is a reminder success will not be easy without him.
Their games in the US, missing some of the club's biggest names, we… [+2398 chars]",Sky Sports
"{'id': None, 'name': 'Sky Sports'}",Anton Toloui,Reporter notebook: Replacing Salah would be no easy feat for Liverpool,"If Liverpool do eventually move on from Mo Salah, Wednesday's win over Arsenal is a reminder success will not be easy without him, writes Anton Toloui.",https://www.skysports.com/football/news/11669/13188470/liverpool-reporter-notebook-replacing-mo-salah-would-be-no-easy-feat-for-the-reds,https://e0.365dm.com/24/07/1600x900/skysports-mo-salah-liverpool_6634000.jpg?20240720185333,2024-08-01T04:20:00Z,"If Liverpool do eventually move on from Mo Salah, Wednesday's win over Arsenal is a reminder success will not be easy without him.
Their games in the US, missing some of the club's biggest names, we… [+2398 chars]",Sky Sports
"{'id': None, 'name': 'Arsenal.com'}",,Highlights: Liverpool 2-1 Arsenal,Watch all the best of the action from Philadelphia as our 2024 US Tour comes to an end,https://www.arsenal.com/news/highlights-liverpool-2-1-arsenal,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/jesus-liverpool-philly.png?h=3c8f2bed&auto=webp&itok=D3e_iuNq,2024-08-01T03:53:00Z,"With three games in the USA now in the bag, Martin Odegaard believes he and his teammates are on the right track to hit their peak performance levels with the Premier League campaign just over two we… [+2516 chars]",Arsenal.com
"{'id': None, 'name': 'Arsenal.com'}",,Odegaard feels we'll peak at the perfect time,Get the view from the changing room following our game against Liverpool in Philadelphia,https://www.arsenal.com/news/odegaard-feels-well-peak-perfect-time,https://www.arsenal.com/sites/default/files/styles/desktop_16x9/public/images/odegaard-liverpool-philly.png?h=d5fbcb48&auto=webp&itok=I5YPG_d0,2024-08-01T03:14:00Z,"With three games in the USA now in the bag, Martin Odegaard believes he and his teammates are on the right track to hit their peak performance levels with the Premier League campaign just over two we… [+2516 chars]",Arsenal.com
