source,author,title,description,url,urlToImage,publishedAt,content,source_name
"{'id': 'four-four-two', 'name': 'FourFourTwo'}",Steven Chicken,"Gareth Southgate to make shock return to football, replacing fan-favourite: report",Former England boss Gareth Southgate is available after standing down from the Three Lions job,https://www.fourfourtwo.com/news/gareth-southgate-to-make-shock-return-to-football-replacing-fan-favourite-report,https://cdn.mos.cms.futurecdn.net/Bvt6JhL6zsWgWn4anAjoAC-1200-80.jpg,2024-07-31T10:30:01Z,"Gareth Southgate could find his next job offer forthcoming after departing the post as England manager following his side’s defeat to Spain in the Euro 2024 final earlier this month.
England reached… [+2377 chars]",FourFourTwo
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,1970-01-01T00:00:00Z,[Removed],[Removed]
"{'id': None, 'name': 'Sky Sports'}",Sahil Jaidka,Rangers close in on Twente captain Pröpper signing,Rangers have agreed a deal to sign FC Twente captain Robin Pröpper.,https://www.skysports.com/football/news/11788/13187959/rangers-transfers-rangers-agree-deal-for-fc-twente-captain-robin-propper,https://e0.365dm.com/24/07/1600x900/skysports-propper-rangers_6643672.jpg?20240731110916,2024-07-31T10:00:00Z,"Rangers have agreed a deal to sign FC Twente captain Robin Pröpper.
The centre-back is now expected to have a medical ahead of his move to Glasgow.
Pröpper, 30, moved to Dutch club FC Twente in 202… [+3707 chars]",Sky Sports
"{'id': None, 'name': 'Just Arsenal News'}",Admin Martin,Arsenal ponders whether to allow Aaron Ramsdale to leave on loan,"Arsenal is considering allowing Aaron Ramsdale to leave on loan after Nottingham Forest showed interest in such an agreement. Ramsdale wants to play, but after David Raya won the most clean sheets in the Premier League last season, it is hard to see him getti…",https://www.justarsenal.com/arsenal-ponders-whether-to-allow-aaron-ramsdale-to-leave-on-loan/372464,https://icdn.justarsenal.com/wp-content/uploads/2023/09/fbl-eng-pr-everton-arsenal-3.jpg,2024-07-31T09:45:00Z,"Arsenal is considering allowing Aaron Ramsdale to leave on loan after Nottingham Forest showed interest in such an agreement.
Ramsdale wants to play, but after David Raya won the most clean sheets i… [+1237 chars]",Just Arsenal News
"{'id': 'espn', 'name': 'ESPN'}",Reuters,City cautious with Haaland's muscle 'discomfort',"Manchester City forward Erling Haaland has been experiencing muscle discomfort, manager Pep Guardiola said",https://www.espn.com/soccer/story/_/id/40687888/man-city-cautious-erling-haaland-muscle-discomfort,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2024%2F0731%2Fr1366021_1296x729_16%2D9.jpg,2024-07-31T09:37:27Z,"Jul 31, 2024, 05:19 AM ET
Manchester City forward Erling Haaland has been experiencing muscle discomfort, manager Pep Guardiola said, after the Norwegian was substituted at half-time for the second … [+1721 chars]",ESPN
"{'id': None, 'name': 'Sky Sports'}",Alison Conroy and Gordon Duncan,Naismith challenges Hearts to 'achieve more',"Hearts head coach Steven Naismith believes they can ""achieve more"" this season despite facing a ""tougher challenge.""",https://www.skysports.com/football/news/11790/13187934/hearts-steven-naismith-challenges-hearts-to-achieve-more,https://e0.365dm.com/24/07/1600x900/skysports-naismith-hearts-steven_6630381.jpg?20240718092237,2024-07-31T09:30:00Z,"Hearts head coach Steven Naismith believes they can ""achieve more"" this season despite facing a ""tougher challenge.""
The Jambos finished third last season, 12 points ahead of the rest, and secured a… [+2732 chars]",Sky Sports
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,1970-01-01T00:00:00Z,[Removed],[Removed]
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,1970-01-01T00:00:00Z,[Removed],[Removed]
"{'id': None, 'name': 'SB Nation'}",chapulana,Newcastle's Nick Pope breaks silence on Euro 2024 snub,The goalie revealed he received no explanation for his international omission.,https://cominghomenewcastle.sbnation.com/2024/7/31/24208529/newcastles-nick-pope-breaks-silence-on-euro-2024-snub,https://cdn.vox-cdn.com/thumbor/l1Ph8X-tZc2Hqq_Zi7caxetfliU=/0x239:3196x1912/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25550125/2163913397.jpg,2024-07-31T09:00:00Z,"Photo by Harriet Massey/Newcastle United via Getty Images

 

 The goalie revealed he received no explanation for his international omission. Newcastle United starting goalkeeper and former England … [+3270 chars]",SB Nation
"{'id': None, 'name': 'Sky Sports'}",Lyall Thomas,"The big striker search: Latest on David, Osimhen and Gyokeres","Strikers are expected to be in high-demand this summer, with Arsenal, Aston Villa, Chelsea and Tottenham among the Premier League clubs understood to be on the lookout for a new forward.",https://www.skysports.com/football/news/11095/13187892/the-big-striker-search-latest-on-jonathan-david-victor-osimhen-viktor-gyokeres-and-alexander-isak,https://e0.365dm.com/24/07/1600x900/skysports-football-transfers_6643714.jpg?20240731113619,2024-07-31T08:42:00Z,"Strikers are expected to be in high-demand this summer, with Arsenal, Aston Villa, Chelsea and Tottenham among the Premier League clubs understood to be on the lookout for a new forward.
In fact, Sk… [+14024 chars]",Sky Sports
